,Year 1,Year 2,Year 3
,,,
Beginning Cash Balance,0.00,6685343.20,14455755.79
Net Income After Tax,2702485.20,3265514.59,3541228.05
Depreciation expense,2858.00,4898.00,3498.00
Invested Capital (Equity),2000000.00,2500000.00,3000000.00
Increase (decrease) in borrowed funds,2000000.00,2000000.00,2000000.00
Equipment Purchases,-20000.00,0.00,0.00
Ending Cash Balance,6685343.20,14455755.79,23000481.84
