,,,,,
,Interest,,,,
,0.12,,,,
,,,,,
,,,,,
,,,Year,,
,Line,How calculated,1,2,3
,,,,,
,Variable Goods,future from present,167245000,209792128,234967183
,Fixed Goods,future from present,1867500,2342592,2623703
,Variable Operating,future from present,16600000,20823040,23321805
,Fixed Operating,annualize,31470,18621,13103
,,,,,
,,,,,
,,,,,
,,E Meter,,,
,,166000000,1245000,167245000,
,,1867500,,,
,,16600000,,,
,,31470,,,
