,Year 1,Year 2,Year 3
,,,
Beginning Cash Balance,0,2369461.2,5268986.44377358
Net Income After Tax,1636603.2,1994627.24377358,2235724.92025718
Depreciation expense,2858,4898,3498
Invested Capital (Equity),500000,600000,650000
Increase (decrease) in borrowed funds,250000,300000,300000
Equipment Purchases,-20000,0,0
Ending Cash Balance,2369461.2,5268986.44377358,8458209.36403077
